Id,SalePrice
1461,136797.0
1462,158249.0
1463,195145.0
1464,202160.0
1465,203154.0
1466,176159.0
1467,172401.0
1468,167204.0
1469,183702.0
1470,136852.0
1471,195851.0
1472,103843.0
1473,110113.0
1474,154627.0
1475,113523.0
1476,315504.0
1477,234293.0
1478,285987.0
1479,261151.0
1480,355594.0
1481,288962.0
1482,204036.0
1483,180729.0
1484,167146.0
1485,174135.0
1486,199096.0
1487,331949.0
1488,229936.0
1489,214979.0
1490,244347.0
1491,190320.0
1492,83681.0
1493,174701.0
1494,270708.0
1495,264832.0
1496,260721.0
1497,185858.0
1498,158680.0
1499,152781.0
1500,146463.0
1501,181171.0
1502,138380.0
1503,285944.0
1504,224397.0
1505,225897.0
1506,195242.0
1507,258992.0
1508,196375.0
1509,155771.0
1510,153681.0
1511,146545.0
1512,177239.0
1513,122542.0
1514,165254.0
1515,246542.0
1516,156495.0
1517,177015.0
1518,125192.0
1519,236599.0
1520,147527.0
1521,146593.0
1522,169682.0
1523,118141.0
1524,122850.0
1525,129385.0
1526,130987.0
1527,110415.0
1528,129116.0
1529,153875.0
1530,170889.0
1531,115474.0
1532,103235.0
1533,150412.0
1534,115860.0
1535,170625.0
1536,123253.0
1537,68842.0
1538,148194.0
1539,211212.0
1540,107707.0
1541,145560.0
1542,156067.0
1543,214978.0
1544,88637.0
1545,109542.0
1546,127556.0
1547,142382.0
1548,144755.0
1549,128712.0
1550,147889.0
1551,112083.0
1552,144549.0
1553,143434.0
1554,120725.0
1555,184180.0
1556,99224.0
1557,113404.0
1558,96978.0
1559,111166.0
1560,141044.0
1561,187444.0
1562,138944.0
1563,131541.0
1564,161144.0
1565,153228.0
1566,235217.0
1567,76259.0
1568,240322.0
1569,156695.0
1570,130328.0
1571,128103.0
1572,157508.0
1573,229297.0
1574,124759.0
1575,205538.0
1576,235005.0
1577,209096.0
1578,141060.0
1579,151785.0
1580,192659.0
1581,158481.0
1582,138592.0
1583,284674.0
1584,237544.0
1585,140997.0
1586,68551.0
1587,102407.0
1588,162027.0
1589,108968.0
1590,142907.0
1591,102079.0
1592,122653.0
1593,121600.0
1594,145995.0
